0,0,0,35,0,0,74,0,0,0,45,0,0,0,0,54,0,0,0,0
0,0,0,0,43,45,0,50,9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,76,0,0,0,60,0,0,0,0,0,0,0,0,99
0,43,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,76,0,0,0,0,0,0,41,0,0,0,34,0,0,30,0,0
0,50,0,0,0,0,0,0,45,112,0,0,53,0,0,0,0,0,0,0
0,9,0,0,0,0,0,45,0,0,0,0,22,45,0,0,0,0,0,0
0,0,0,0,0,0,0,112,0,0,0,54,56,0,18,0,50,22,0,0
45,0,0,60,0,0,41,0,0,0,0,0,0,0,0,85,0,0,0,0
0,0,0,0,0,0,0,0,0,54,0,0,0,0,38,0,0,0,0,48
0,0,0,0,0,0,0,53,22,56,0,0,0,49,0,0,38,0,0,0
0,0,0,0,0,0,0,0,45,0,0,0,49,0,0,0,0,0,0,20
0,0,0,0,0,0,34,0,0,18,0,38,0,0,0,0,0,0,36,0
54,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,50,0,0,38,0,0,0,0,0,0,0
0,0,0,0,0,0,30,0,0,22,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
0,0,0,99,0,0,0,0,0,0,0,48,0,20,0,0,0,0,0,0
